[2019-11-24 05:35:56.825] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:56.858] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:56.891] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:56.925] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:56.958] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:56.991] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.025] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.058] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.091] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.124] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.158] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.191] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.225] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Right] being pressed
[2019-11-24 05:35:57.259] [nemo] [debug] [engine/src/Controller.cpp:149] Key 18 pressed
[2019-11-24 05:35:57.259] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.292] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.325] [nemo] [debug] [engine/src/Controller.cpp:164] Key 3 released
[2019-11-24 05:35:57.327] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.358] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.391] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.425] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.458] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.492] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.525] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.559] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.593] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.627] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.660] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.694] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.727] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.761] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
[2019-11-24 05:35:57.795] [nemo] [debug] [engine/src/Controller.cpp:229] Found [Down] being pressed
